Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
1,1,0,2,1,3,1,40,65,180,300,2,5
2,1,0,1,1,3,2,39,81,60,180,3,5
3,1,0,1,2,3,2,58,96,420,540,2,5
4,1,0,1,1,3,2,9,70,60,180,2,5
5,1,0,1,1,3,1,10,9,60,180,1,5
6,1,0,1,2,3,2,71,58,180,300,1,5
7,1,0,1,1,3,1,2,64,60,180,2,5
8,1,0,1,1,3,2,56,61,60,180,4,5
9,1,0,1,1,3,2,88,66,60,180,4,5
10,1,0,1,1,3,1,24,6,60,180,1,5
11,1,0,1,2,3,1,93,80,300,420,2,5
12,1,0,1,1,3,1,81,42,60,180,3,5
13,1,0,1,1,3,1,16,47,60,180,1,5
14,1,0,1,2,3,1,76,63,300,600,4,5
15,1,0,1,1,3,2,14,90,60,180,2,5
16,1,0,1,1,3,1,71,32,60,180,4,5
17,1,0,1,1,3,1,9,44,60,180,2,5
18,1,0,1,1,3,2,75,9,60,180,2,5
19,1,0,1,1,3,1,57,23,60,180,2,5
20,1,0,1,1,3,1,81,84,60,180,4,5
21,1,0,1,1,3,1,63,95,60,180,3,5
22,1,0,1,2,3,1,79,39,300,420,3,5
23,1,0,1,1,3,2,80,84,60,180,2,5
24,1,0,1,1,3,2,15,87,60,180,1,5
25,1,0,1,1,3,1,29,58,60,180,3,5
26,1,0,1,1,3,2,20,0,60,180,1,5
27,1,0,1,1,3,2,25,77,60,180,1,5
28,1,0,1,1,3,2,53,61,60,180,4,5
29,1,0,1,2,3,2,78,49,180,300,1,5
30,1,0,1,1,3,2,69,50,60,180,2,5
31,1,0,1,1,3,1,98,38,60,180,1,5
32,1,0,1,1,3,2,37,73,60,180,1,5
33,1,0,1,1,3,2,36,10,60,180,3,5
34,1,0,1,2,3,1,36,24,60,180,2,5
35,1,0,1,1,3,1,94,82,60,180,2,5
36,1,0,1,2,3,2,37,3,180,300,3,5
37,1,0,1,1,3,2,93,93,60,180,3,5
38,1,0,1,1,3,1,21,1,60,180,3,5
39,1,0,1,1,3,2,82,4,60,180,1,5
40,1,0,1,1,3,1,55,52,60,180,4,5
41,1,0,1,2,3,2,74,11,300,600,1,5
42,1,0,1,1,3,1,38,22,60,180,4,5
43,1,0,1,2,3,1,83,83,60,180,3,5
44,1,0,1,1,3,2,13,27,60,180,2,5
45,1,0,1,2,3,1,96,31,180,300,3,5
46,1,0,1,1,3,1,63,82,60,180,1,5
47,1,0,1,1,3,2,14,90,60,180,1,5
48,1,0,1,2,3,1,47,94,60,180,2,5
49,1,0,1,2,3,2,53,33,420,540,3,5
50,1,0,1,1,3,1,36,53,60,180,1,5
51,1,0,1,1,3,1,98,31,60,180,2,5
52,1,0,1,1,3,1,75,66,60,180,3,5
53,1,0,1,1,3,1,21,27,60,180,3,5
54,1,0,1,1,3,1,59,58,60,180,3,5
55,1,0,1,2,3,1,10,95,420,540,4,5
56,1,0,1,1,3,1,4,66,60,180,2,5
57,1,0,1,1,3,1,47,75,60,180,4,5
58,1,0,1,2,3,2,24,1,180,300,1,5
59,1,0,1,1,3,1,66,57,60,180,1,5
60,1,0,1,2,3,1,21,61,0,300,3,5
61,1,0,1,1,3,1,41,21,60,180,4,5
62,1,0,1,1,3,2,24,53,60,180,4,5
63,1,0,1,1,3,2,47,24,60,180,1,5
64,1,0,1,1,3,2,84,95,60,180,1,5
65,1,0,1,1,3,2,23,39,60,180,3,5
66,1,0,1,1,3,2,68,3,60,180,4,5
67,1,0,1,1,3,1,60,98,60,180,2,5
68,1,0,1,1,3,2,71,93,60,180,1,5
69,1,0,1,1,3,1,70,32,60,180,2,5
70,1,0,1,1,3,2,54,72,60,180,2,5
71,1,0,1,1,3,2,39,64,60,180,1,5
72,1,0,1,1,3,1,74,10,60,180,4,5
73,1,0,1,2,3,1,35,34,60,180,2,5
74,1,0,1,1,3,2,92,19,60,180,4,5
75,1,0,1,1,3,2,84,16,60,180,2,5
76,1,0,1,1,3,1,67,9,60,180,1,5
77,1,0,1,1,3,1,73,80,60,180,2,5
78,1,0,1,2,3,1,6,40,180,300,1,5
79,1,0,1,1,3,2,70,93,60,180,3,5
80,1,0,1,1,3,2,27,0,60,180,4,5
81,1,0,1,1,3,1,87,79,60,180,3,5
82,1,0,1,1,3,2,80,13,60,180,4,5
83,1,0,1,1,3,1,41,17,60,180,2,5
84,1,0,1,1,3,2,26,20,60,180,2,5
85,1,0,1,2,3,2,50,76,300,600,2,5
86,1,0,1,1,3,1,1,7,60,180,4,5
87,1,0,1,1,3,1,18,82,60,180,2,5
88,1,0,1,2,3,1,76,54,300,420,3,5
89,1,0,1,1,3,2,32,12,60,180,2,5
90,1,0,1,1,3,2,33,66,60,180,1,5
91,1,0,1,1,3,1,50,80,60,180,2,5
92,1,0,1,2,3,1,79,29,0,300,1,5
93,1,0,1,1,3,1,8,15,60,180,2,5
94,1,0,1,1,3,2,45,70,60,180,1,5
95,1,0,1,1,3,1,40,16,60,180,2,5
96,1,0,1,1,3,1,95,16,60,180,4,5
97,1,0,1,1,3,1,61,39,60,180,3,5
98,1,0,1,1,3,1,17,97,60,180,3,5
99,1,0,1,2,3,1,68,51,60,180,3,5
100,1,0,1,1,3,2,12,1,60,180,4,5
101,1,0,1,1,3,1,95,26,60,180,2,5
102,1,0,1,2,3,2,44,75,60,180,1,5
103,1,0,1,1,3,1,100,55,60,180,2,5
104,1,0,1,1,3,1,61,27,60,180,4,5
105,1,0,1,2,3,2,42,3,60,180,1,5
106,1,0,1,1,3,2,42,71,60,180,1,5
107,1,0,1,2,3,2,66,35,60,180,3,5
108,1,0,1,1,3,2,27,35,60,180,2,5
109,1,0,1,1,3,1,53,32,60,180,3,5
110,1,0,1,1,3,1,7,30,60,180,4,5
111,1,0,1,1,3,1,20,74,60,180,3,5
112,1,0,1,1,3,1,21,32,60,180,1,5
113,1,0,1,1,3,2,82,51,60,180,1,5
114,1,0,1,1,3,2,30,43,60,180,2,5
115,1,0,1,1,3,1,85,84,60,180,2,5
116,1,0,1,1,3,2,79,75,60,180,4,5
117,1,0,1,1,3,2,34,65,60,180,4,5
118,1,0,1,1,3,1,54,85,60,180,4,5
119,1,0,1,1,3,2,66,13,60,180,3,5
120,1,104,2,2,3,2,76,28,420,540,4,5
121,1,577,2,2,3,2,2,44,180,300,4,5
122,1,358,2,1,3,2,78,25,0,300,3,5
123,1,154,2,2,3,1,68,77,300,420,3,5
124,1,356,2,1,3,1,32,92,60,180,1,5
125,1,214,2,1,3,1,72,51,0,300,2,5
126,1,396,2,2,3,1,65,90,420,540,4,5
127,1,163,2,2,3,2,84,42,0,300,4,5
128,1,436,2,2,3,1,17,4,0,300,2,5
129,1,237,2,1,3,1,49,85,60,180,4,5
130,1,219,2,1,3,1,96,44,0,300,4,5
131,1,11,2,1,3,2,35,46,180,300,2,5
132,1,174,2,1,3,2,65,27,180,300,1,5
133,1,402,2,1,3,2,63,53,0,300,3,5
134,1,490,2,1,3,2,47,64,0,300,2,5
135,1,557,2,1,3,1,2,22,60,180,4,5
136,1,432,2,2,3,1,63,46,0,300,1,5
137,1,296,2,1,3,2,47,27,0,300,2,5
138,1,582,2,2,3,1,91,27,300,600,2,5
139,1,414,2,2,3,2,72,88,180,300,2,5
140,1,244,2,1,3,1,65,0,180,300,2,5
141,1,456,2,1,3,2,3,9,180,300,2,5
142,1,285,2,1,3,1,91,4,60,180,3,5
143,1,255,2,2,3,2,25,88,420,540,3,5
144,1,400,2,2,3,2,96,94,300,420,4,5
145,1,216,2,2,3,2,67,6,420,540,4,5
146,1,225,2,2,3,2,97,99,0,300,1,5
147,1,178,2,1,3,1,99,31,0,300,2,5
148,1,486,2,1,3,2,99,5,0,300,3,5
149,1,153,2,2,3,2,44,18,300,420,1,5
150,1,181,2,2,3,1,95,96,0,300,4,5
151,6,569,7,1,3,2,8,36,0,300,2,5
152,10,557,11,2,3,2,45,91,60,180,2,5
153,2,559,4,2,3,1,78,84,420,540,3,5
154,3,535,5,2,3,2,60,53,60,180,3,5
155,10,319,11,1,3,2,62,68,180,300,2,5
156,8,360,9,2,3,1,10,2,300,420,1,5
157,11,471,12,2,3,1,12,43,0,300,1,5
158,13,184,13,2,3,2,2,42,420,540,1,5
159,6,247,6,2,3,2,49,15,300,600,3,5
160,10,45,10,2,3,1,18,63,300,600,2,5
161,3,157,4,1,3,1,46,4,60,180,2,5
162,7,19,7,2,3,1,16,91,180,300,2,5
163,10,11,11,1,3,2,28,99,60,180,2,5
164,5,154,5,2,3,2,72,16,300,600,1,5
165,1,218,2,2,3,2,15,75,180,300,2,5
