Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
,,,,,0,3,50,100,,,,0
,,,,,1,3,39,54,,,,15
,,,,,1,3,60,56,,,,15
1,1,0,1,1,3,1,76,12,60,180,2,5
2,1,0,1,2,3,2,93,11,60,180,2,5
3,1,0,1,1,3,3,71,38,60,180,2,5
4,1,0,1,2,3,2,51,34,180,300,2,5
5,1,0,1,2,3,3,45,25,60,180,3,5
6,1,0,1,2,3,3,53,70,420,540,1,5
7,1,0,1,2,3,3,14,3,60,180,3,5
8,1,0,1,2,3,1,37,28,300,420,2,5
9,1,0,1,1,3,2,53,67,60,180,4,5
10,1,0,1,2,3,2,46,24,300,420,2,5
11,1,0,1,2,3,3,47,12,0,300,2,5
12,1,0,1,2,3,3,67,4,420,540,3,5
13,1,0,1,1,3,2,49,30,60,180,4,5
14,1,0,1,2,3,3,47,15,300,420,2,5
15,1,0,1,2,3,1,40,77,180,300,1,5
16,1,0,1,2,3,3,51,34,0,300,2,5
17,1,0,1,1,3,2,25,89,60,180,2,5
18,1,0,1,2,3,2,45,87,180,300,4,5
19,1,0,1,2,3,2,16,34,420,540,1,5
20,1,0,1,2,3,3,3,66,420,540,1,5
21,1,0,1,1,3,1,83,44,60,180,3,5
22,1,0,1,2,3,2,86,56,180,300,3,5
23,1,0,1,2,3,2,15,71,180,300,2,5
24,1,0,1,1,3,2,32,91,60,180,4,5
25,1,0,1,2,3,3,68,49,0,300,4,5
26,1,0,1,2,3,2,38,67,300,420,3,5
27,1,0,1,2,3,3,26,91,420,540,4,5
28,1,0,1,2,3,1,47,86,420,540,3,5
29,1,0,1,1,3,3,19,2,60,180,3,5
30,1,0,1,2,3,2,25,50,300,600,4,5
31,1,0,1,2,3,3,93,20,180,300,1,5
32,1,0,1,2,3,3,46,87,300,600,4,5
33,1,0,1,2,3,2,3,19,420,540,1,5
34,1,0,1,2,3,1,30,0,300,600,2,5
35,1,0,1,1,3,2,44,65,60,180,4,5
36,1,0,1,2,3,3,64,43,60,180,4,5
37,1,0,1,2,3,2,21,24,420,540,2,5
38,1,0,1,1,3,3,70,73,60,180,1,5
39,1,0,1,2,3,1,38,53,0,300,3,5
40,1,0,1,2,3,3,6,42,60,180,4,5
41,1,0,1,2,3,1,5,85,420,540,4,5
42,1,0,1,1,3,1,82,30,60,180,3,5
43,1,0,1,1,3,2,82,33,60,180,2,5
44,1,0,1,2,3,2,93,85,0,300,1,5
45,1,0,1,2,3,3,47,41,300,600,4,5
46,1,0,1,2,3,1,78,24,0,300,1,5
47,1,0,1,2,3,2,14,70,300,600,1,5
48,1,0,1,1,3,3,72,90,60,180,1,5
49,1,0,1,2,3,1,60,19,0,300,2,5
50,1,0,1,2,3,3,61,90,0,300,3,5
51,1,0,1,1,3,1,16,78,60,180,3,5
52,1,0,1,2,3,2,71,34,180,300,4,5
53,1,0,1,2,3,3,89,86,300,420,3,5
54,1,0,1,2,3,1,64,73,180,300,3,5
55,1,0,1,2,3,3,14,32,0,300,4,5
56,1,0,1,2,3,3,34,11,420,540,3,5
57,1,0,1,1,3,2,59,14,60,180,1,5
58,1,0,1,1,3,1,95,44,60,180,2,5
59,1,0,1,2,3,1,78,61,300,600,1,5
60,1,0,1,2,3,3,70,32,0,300,3,5
61,1,0,1,2,3,3,28,54,60,180,1,5
62,1,0,1,1,3,3,5,16,60,180,1,5
63,1,0,1,2,3,3,86,43,420,540,1,5
64,1,0,1,1,3,3,59,11,60,180,3,5
65,1,0,1,2,3,1,32,35,420,540,2,5
66,1,0,1,2,3,1,17,71,180,300,3,5
67,1,0,1,2,3,1,20,66,180,300,4,5
68,1,0,1,2,3,3,67,17,180,300,1,5
69,1,0,1,2,3,3,20,39,0,300,1,5
70,1,0,1,1,3,2,1,97,60,180,4,5
71,1,0,1,1,3,2,20,30,60,180,4,5
72,1,0,1,2,3,1,23,67,60,180,2,5
73,1,0,1,2,3,1,19,53,0,300,3,5
74,1,0,1,2,3,1,87,85,0,300,3,5
75,1,0,1,2,3,3,40,13,420,540,2,5
76,1,0,1,2,3,3,46,45,420,540,4,5
77,1,0,1,1,3,2,23,50,60,180,3,5
78,1,0,1,2,3,3,56,65,0,300,1,5
79,1,0,1,1,3,1,85,14,60,180,3,5
80,1,0,1,2,3,3,29,0,60,180,4,5
81,1,0,1,1,3,2,30,63,60,180,1,5
82,1,0,1,1,3,2,19,49,60,180,3,5
83,1,0,1,2,3,1,7,44,420,540,3,5
84,1,0,1,1,3,1,54,50,60,180,3,5
85,1,0,1,2,3,1,18,85,0,300,4,5
86,1,0,1,1,3,1,96,100,60,180,4,5
87,1,0,1,2,3,1,35,59,60,180,1,5
88,1,0,1,2,3,2,29,80,300,600,2,5
89,1,0,1,1,3,3,97,14,60,180,2,5
90,1,0,1,1,3,1,59,21,60,180,2,5
91,1,0,1,1,3,3,9,58,60,180,3,5
92,1,0,1,2,3,3,38,70,60,180,1,5
93,1,0,1,2,3,2,51,80,420,540,3,5
94,1,0,1,2,3,3,4,63,0,300,1,5
95,1,0,1,2,3,1,1,81,60,180,3,5
96,1,0,1,2,3,3,83,27,60,180,2,5
97,1,0,1,1,3,3,17,74,60,180,2,5
98,1,0,1,2,3,1,63,85,420,540,3,5
99,1,0,1,2,3,1,28,42,300,600,1,5
100,1,0,1,1,3,3,44,30,60,180,4,5
101,1,0,1,2,3,3,63,56,300,600,2,5
102,1,0,1,1,3,1,5,72,60,180,3,5
103,1,0,1,1,3,2,69,6,60,180,2,5
104,1,0,1,2,3,2,10,88,60,180,4,5
105,1,0,1,2,3,2,62,82,180,300,3,5
106,1,0,1,2,3,3,76,23,60,180,3,5
107,1,0,1,2,3,3,70,70,180,300,4,5
108,1,0,1,1,3,2,20,83,60,180,1,5
109,1,0,1,1,3,2,42,4,60,180,1,5
110,1,0,1,2,3,2,71,5,300,420,1,5
111,1,0,1,2,3,3,71,46,60,180,1,5
112,1,0,1,1,3,1,86,24,60,180,3,5
113,1,0,1,2,3,1,27,25,300,600,3,5
114,1,0,1,2,3,2,53,90,300,600,1,5
115,1,0,1,2,3,1,15,3,420,540,3,5
116,1,0,1,1,3,1,57,95,60,180,3,5
117,1,0,1,2,3,2,37,79,300,420,4,5
118,1,0,1,2,3,2,99,15,60,180,2,5
119,1,0,1,2,3,2,46,6,300,420,4,5
120,1,0,1,1,3,2,97,75,60,180,4,5
121,1,0,1,1,3,1,82,60,60,180,3,5
122,1,0,1,2,3,3,83,70,300,600,2,5
123,1,0,1,2,3,3,85,82,0,300,4,5
124,1,0,1,2,3,3,100,11,60,180,4,5
125,1,0,1,2,3,1,13,42,300,600,3,5
126,1,0,1,2,3,1,7,3,420,540,1,5
127,1,0,1,1,3,2,72,10,60,180,1,5
128,1,0,1,1,3,3,95,100,60,180,2,5
129,1,0,1,2,3,2,30,34,420,540,1,5
130,1,0,1,1,3,2,9,20,60,180,2,5
131,1,0,1,1,3,3,25,78,60,180,3,5
132,1,0,1,2,3,2,6,83,180,300,2,5
133,1,0,1,2,3,2,83,47,180,300,3,5
134,1,0,1,2,3,1,25,32,0,300,4,5
135,1,0,1,2,3,2,38,14,300,600,3,5
136,1,0,1,2,3,1,33,95,180,300,4,5
137,1,0,1,2,3,2,1,92,300,420,1,5
138,1,0,1,2,3,2,60,64,300,600,4,5
139,1,0,1,2,3,1,33,5,0,300,3,5
140,1,0,1,2,3,2,74,46,300,420,1,5
141,1,0,1,2,3,2,42,24,180,300,4,5
142,1,0,1,2,3,3,47,83,300,600,4,5
143,1,0,1,1,3,2,8,44,60,180,2,5
144,1,0,1,2,3,2,93,90,420,540,1,5
145,1,0,1,2,3,2,27,1,300,420,1,5
146,1,0,1,2,3,3,86,36,60,180,2,5
147,1,0,1,1,3,1,26,92,60,180,2,5
148,1,0,1,1,3,2,18,33,60,180,3,5
149,1,0,1,2,3,3,89,11,0,300,2,5
150,1,0,1,2,3,1,96,94,300,420,4,5
151,1,0,1,2,3,2,76,51,60,180,3,5
152,1,0,1,2,3,1,53,32,0,300,1,5
153,1,0,1,2,3,3,96,3,420,540,4,5
154,1,0,1,2,3,2,22,99,420,540,4,5
155,1,0,1,2,3,3,9,39,60,180,2,5
156,1,0,1,1,3,2,62,16,60,180,1,5
157,1,0,1,1,3,3,18,75,60,180,4,5
158,1,0,1,2,3,1,19,35,0,300,3,5
159,1,0,1,1,3,3,75,18,60,180,2,5
160,1,0,1,2,3,1,98,15,300,600,2,5
161,1,0,1,2,3,3,8,84,300,600,1,5
162,1,0,1,1,3,3,46,79,60,180,3,5
163,1,0,1,2,3,3,47,50,0,300,2,5
