Order,Day-Order,Time-Order,Day-Ops,Service,Type,Origin,X,Y,Early,Latest,Demand,Service Time 
,,,,,0,1,50,100,,,,0
,,,,,1,1,27,36,,,,15
,,,,,1,1,60,24,,,,15
,,,,,0,2,50,100,,,,0
,,,,,1,2,53,67,,,,15
,,,,,1,2,22,33,,,,15
,,,,,0,3,50,100,,,,0
,,,,,1,3,39,54,,,,15
,,,,,1,3,60,56,,,,15
1,1,0,1,1,3,2,61,5,60,180,2,5
2,1,0,1,1,3,1,68,94,60,180,1,5
3,1,0,1,1,3,1,85,77,60,180,3,5
4,1,0,1,1,3,2,6,34,60,180,1,5
5,1,0,1,1,3,2,35,44,60,180,4,5
6,1,0,1,1,3,3,51,98,60,180,1,5
7,1,0,1,1,3,1,11,29,60,180,4,5
8,1,0,1,1,3,1,15,13,60,180,4,5
9,1,0,1,1,3,1,96,12,60,180,4,5
10,1,0,1,1,3,1,54,29,60,180,1,5
11,1,0,1,1,3,1,13,80,60,180,2,5
12,1,0,1,1,3,1,11,83,60,180,2,5
13,1,0,1,1,3,3,1,92,60,180,3,5
14,1,0,1,1,3,2,57,34,60,180,2,5
15,1,0,1,1,3,3,51,3,60,180,3,5
16,1,0,1,1,3,1,77,34,60,180,3,5
17,1,0,1,1,3,2,38,68,60,180,1,5
18,1,0,1,1,3,1,81,76,60,180,1,5
19,1,0,1,1,3,2,89,27,60,180,2,5
20,1,0,1,1,3,1,45,10,60,180,1,5
21,1,0,1,1,3,3,13,54,60,180,4,5
22,1,0,1,1,3,2,59,90,60,180,1,5
23,1,0,1,1,3,2,54,26,60,180,1,5
24,1,0,1,1,3,2,67,23,60,180,3,5
25,1,0,1,1,3,2,84,76,60,180,3,5
26,1,0,1,1,3,2,80,10,60,180,1,5
27,1,0,1,1,3,3,61,13,60,180,1,5
28,1,0,1,1,3,2,97,100,60,180,2,5
29,1,0,1,1,3,2,72,98,60,180,2,5
30,1,0,1,1,3,2,80,88,60,180,4,5
31,1,0,1,1,3,1,50,8,60,180,2,5
32,1,0,1,1,3,1,58,56,60,180,1,5
33,1,0,1,1,3,1,100,22,60,180,3,5
34,1,0,1,1,3,1,14,84,60,180,1,5
35,1,0,1,1,3,3,2,43,60,180,3,5
36,1,0,1,1,3,1,90,43,60,180,2,5
37,1,0,1,1,3,3,15,99,60,180,3,5
38,1,0,1,1,3,2,79,73,60,180,4,5
39,1,0,1,1,3,2,6,76,60,180,1,5
40,1,0,1,1,3,3,65,95,60,180,2,5
41,1,0,1,2,3,2,61,72,300,420,3,5
42,1,0,1,1,3,3,81,80,60,180,2,5
43,1,0,1,1,3,1,62,32,60,180,1,5
44,1,0,1,1,3,2,28,1,60,180,3,5
45,1,0,1,1,3,2,88,93,60,180,3,5
46,1,0,1,1,3,2,62,28,60,180,3,5
47,1,0,1,1,3,3,9,97,60,180,2,5
48,1,0,1,1,3,1,86,54,60,180,2,5
49,1,0,1,1,3,1,21,20,60,180,4,5
50,1,0,1,1,3,1,62,35,60,180,2,5
51,1,0,1,1,3,3,29,70,60,180,1,5
52,1,0,1,1,3,1,53,90,60,180,4,5
53,1,0,1,1,3,1,97,8,60,180,3,5
54,1,0,1,1,3,1,18,64,60,180,3,5
55,1,0,1,1,3,2,7,0,60,180,4,5
56,1,0,1,1,3,1,4,99,60,180,2,5
57,1,0,1,1,3,3,21,14,60,180,2,5
58,1,0,1,1,3,3,58,40,60,180,1,5
59,1,0,1,1,3,3,67,67,60,180,2,5
60,1,0,1,1,3,1,66,95,60,180,3,5
61,1,0,1,1,3,2,36,96,60,180,1,5
62,1,0,1,1,3,1,6,48,60,180,2,5
63,1,0,1,1,3,3,36,64,60,180,2,5
64,1,0,1,1,3,2,34,72,60,180,2,5
65,1,0,1,1,3,2,19,44,60,180,2,5
66,1,0,1,1,3,1,92,20,60,180,2,5
67,1,0,1,1,3,1,16,20,60,180,1,5
68,1,0,1,1,3,2,74,3,60,180,4,5
69,1,0,1,1,3,3,38,3,60,180,4,5
70,1,0,1,1,3,1,52,89,60,180,1,5
71,1,0,1,2,3,1,24,10,0,300,4,5
72,1,0,1,1,3,3,69,71,60,180,1,5
73,1,0,1,1,3,1,25,55,60,180,4,5
74,1,0,1,1,3,2,59,17,60,180,2,5
75,1,0,1,1,3,3,82,55,60,180,4,5
76,1,0,1,1,3,2,35,52,60,180,3,5
77,1,0,1,1,3,1,85,49,60,180,4,5
78,1,0,1,1,3,2,62,67,60,180,1,5
79,1,0,1,1,3,1,45,37,60,180,2,5
80,1,0,1,2,3,3,13,56,180,300,4,5
81,1,0,1,1,3,1,61,44,60,180,2,5
82,1,0,1,1,3,2,9,65,60,180,4,5
83,1,0,1,1,3,2,91,74,60,180,4,5
84,1,0,1,1,3,2,76,90,60,180,2,5
85,1,0,1,1,3,2,81,8,60,180,2,5
86,1,0,1,1,3,2,81,69,60,180,4,5
87,1,0,1,1,3,3,30,69,60,180,4,5
88,1,0,1,1,3,2,44,52,60,180,2,5
89,1,0,1,1,3,2,27,20,60,180,4,5
90,1,0,1,1,3,1,6,47,60,180,4,5
91,1,0,1,1,3,3,46,34,60,180,4,5
92,1,0,1,1,3,2,55,5,60,180,4,5
93,1,0,1,1,3,1,76,81,60,180,3,5
94,1,0,1,1,3,2,71,40,60,180,3,5
95,1,0,1,1,3,3,73,48,60,180,3,5
96,1,0,1,1,3,1,53,4,60,180,2,5
97,1,0,1,1,3,3,38,92,60,180,2,5
98,1,0,1,1,3,1,1,20,60,180,2,5
99,1,0,1,1,3,3,46,27,60,180,3,5
100,1,0,1,1,3,1,26,64,60,180,3,5
101,1,0,1,2,3,2,22,76,300,600,1,5
102,1,0,1,1,3,3,73,74,60,180,2,5
103,1,0,1,1,3,3,55,39,60,180,1,5
104,1,0,1,1,3,1,99,5,60,180,2,5
105,1,0,1,1,3,3,81,60,60,180,1,5
106,1,0,1,1,3,3,12,84,60,180,4,5
107,1,0,1,2,3,2,51,90,60,180,2,5
108,1,0,1,1,3,3,14,38,60,180,1,5
109,1,0,1,1,3,2,47,96,60,180,4,5
110,1,0,1,1,3,3,50,21,60,180,3,5
111,1,0,1,1,3,3,38,23,60,180,1,5
112,1,0,1,1,3,2,35,93,60,180,2,5
113,1,0,1,1,3,2,5,83,60,180,2,5
114,1,0,1,1,3,3,3,86,60,180,2,5
115,1,0,1,1,3,1,28,97,60,180,3,5
116,1,0,1,1,3,2,77,92,60,180,2,5
117,1,0,1,1,3,2,75,17,60,180,1,5
118,1,0,1,1,3,1,91,91,60,180,1,5
119,1,0,1,1,3,2,58,65,60,180,1,5
120,1,0,1,1,3,1,17,37,60,180,3,5
121,1,0,1,1,3,1,37,43,60,180,2,5
122,1,0,1,1,3,3,62,3,60,180,3,5
123,1,0,1,1,3,2,92,13,60,180,4,5
124,1,0,1,1,3,3,47,10,60,180,1,5
125,1,0,1,1,3,2,20,88,60,180,1,5
126,1,0,1,1,3,1,5,4,60,180,3,5
127,1,0,1,1,3,2,91,97,60,180,4,5
128,1,0,1,1,3,2,35,15,60,180,4,5
129,1,0,1,1,3,2,82,29,60,180,1,5
130,1,0,1,1,3,1,44,16,60,180,4,5
131,1,0,1,1,3,1,80,38,60,180,4,5
132,1,0,1,1,3,1,50,54,60,180,3,5
133,1,0,1,2,3,3,17,6,420,540,1,5
134,1,0,1,1,3,3,58,36,60,180,3,5
135,1,0,1,1,3,3,33,68,60,180,4,5
136,1,0,1,1,3,3,42,95,60,180,3,5
137,1,0,1,1,3,3,16,1,60,180,2,5
138,1,0,1,1,3,2,48,58,60,180,4,5
139,1,0,1,2,3,1,54,73,300,420,4,5
140,1,0,1,1,3,2,21,62,60,180,3,5
141,1,0,1,1,3,1,4,59,60,180,4,5
142,1,0,1,1,3,1,12,37,60,180,4,5
143,1,0,1,1,3,3,9,2,60,180,4,5
144,1,0,1,1,3,1,85,23,60,180,3,5
145,1,0,1,1,3,3,99,92,60,180,1,5
146,1,0,1,1,3,1,97,97,60,180,4,5
147,1,0,1,1,3,2,83,77,60,180,1,5
148,1,0,1,1,3,2,59,31,60,180,2,5
149,1,0,1,1,3,2,30,86,60,180,4,5
150,1,0,1,1,3,2,60,80,60,180,4,5
151,1,0,1,1,3,3,84,60,60,180,3,5
152,1,0,1,1,3,3,1,79,60,180,1,5
153,1,0,1,1,3,2,59,76,60,180,4,5
154,1,0,1,1,3,2,0,18,60,180,2,5
155,1,0,1,1,3,1,91,30,60,180,3,5
156,1,0,1,1,3,2,61,99,60,180,4,5
157,1,0,1,1,3,3,10,51,60,180,1,5
158,1,0,1,1,3,3,48,17,60,180,2,5
159,1,0,1,1,3,3,69,15,60,180,3,5
160,1,0,1,1,3,2,54,40,60,180,1,5
161,1,0,1,1,3,2,53,92,60,180,1,5
162,1,0,1,1,3,1,37,67,60,180,2,5
163,1,0,1,1,3,1,90,14,60,180,4,5
